,RunId,iteration,Step,jury_or_televoting,year,mu,sigma,ks
71,71,0,1,T,2021,-0.07,0.045,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
72,72,0,1,T,2021,-0.07,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
73,73,0,1,T,2021,-0.07,0.06,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
74,74,0,1,T,2021,-0.07,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
75,75,0,1,T,2021,-0.07,0.065,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
76,76,0,1,T,2021,-0.07,0.07,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
77,77,0,1,T,2021,-0.07,0.055,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
78,78,0,1,T,2021,-0.07,0.075,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
79,79,0,1,T,2021,-0.07,0.08,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
80,80,0,1,T,2021,-0.07,0.085,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
81,81,0,1,T,2021,-0.07,0.09,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
82,82,0,1,T,2021,-0.07,0.095,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
83,83,0,1,T,2021,-0.07,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
84,84,0,1,T,2021,-0.060000000000000005,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
85,85,0,1,T,2021,-0.060000000000000005,0.0,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
86,86,0,1,T,2021,-0.060000000000000005,0.005,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
87,87,0,1,T,2021,-0.060000000000000005,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
