,Unnamed: 0,Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points      ,Duplicate
41144,41144,2017,sf1,2017sf1,J,Cyprus,Moldova,0,
41145,41145,2017,sf1,2017sf1,J,Cyprus,Montenegro,0,
41146,41146,2017,sf1,2017sf1,J,Cyprus,Poland,2,
41147,41147,2017,sf1,2017sf1,J,Cyprus,Portugal,10,
41148,41148,2017,sf1,2017sf1,J,Cyprus,Slovenia,0,
41149,41149,2017,sf1,2017sf1,J,Cyprus,Sweden,8,
41150,41150,2017,sf1,2017sf1,J,Czech Republic,Albania,0,
41151,41151,2017,sf1,2017sf1,J,Czech Republic,Armenia,0,
41152,41152,2017,sf1,2017sf1,J,Czech Republic,Australia,12,
41153,41153,2017,sf1,2017sf1,J,Czech Republic,Azerbaijan,4,
41154,41154,2017,sf1,2017sf1,J,Czech Republic,Belgium,3,
41155,41155,2017,sf1,2017sf1,J,Czech Republic,Cyprus,5,
41156,41156,2017,sf1,2017sf1,J,Czech Republic,Czech Republic,0,x
41157,41157,2017,sf1,2017sf1,J,Czech Republic,Finland,1,
41158,41158,2017,sf1,2017sf1,J,Czech Republic,Georgia,0,
41159,41159,2017,sf1,2017sf1,J,Czech Republic,Greece,0,
41160,41160,2017,sf1,2017sf1,J,Czech Republic,Iceland,0,
41161,41161,2017,sf1,2017sf1,J,Czech Republic,Latvia,0,
41162,41162,2017,sf1,2017sf1,J,Czech Republic,Moldova,6,
41163,41163,2017,sf1,2017sf1,J,Czech Republic,Montenegro,2,
41164,41164,2017,sf1,2017sf1,J,Czech Republic,Poland,8,
41165,41165,2017,sf1,2017sf1,J,Czech Republic,Portugal,7,
41166,41166,2017,sf1,2017sf1,J,Czech Republic,Slovenia,0,
41167,41167,2017,sf1,2017sf1,J,Czech Republic,Sweden,10,
41168,41168,2017,sf1,2017sf1,J,Finland,Albania,0,
41169,41169,2017,sf1,2017sf1,J,Finland,Armenia,4,
41170,41170,2017,sf1,2017sf1,J,Finland,Australia,8,
41171,41171,2017,sf1,2017sf1,J,Finland,Azerbaijan,0,
41172,41172,2017,sf1,2017sf1,J,Finland,Belgium,0,
41173,41173,2017,sf1,2017sf1,J,Finland,Cyprus,7,
41174,41174,2017,sf1,2017sf1,J,Finland,Czech Republic,0,
41175,41175,2017,sf1,2017sf1,J,Finland,Finland,0,x
41176,41176,2017,sf1,2017sf1,J,Finland,Georgia,3,
41177,41177,2017,sf1,2017sf1,J,Finland,Greece,0,
41178,41178,2017,sf1,2017sf1,J,Finland,Iceland,5,
41179,41179,2017,sf1,2017sf1,J,Finland,Latvia,0,
41180,41180,2017,sf1,2017sf1,J,Finland,Moldova,6,
41181,41181,2017,sf1,2017sf1,J,Finland,Montenegro,0,
41182,41182,2017,sf1,2017sf1,J,Finland,Poland,2,
41183,41183,2017,sf1,2017sf1,J,Finland,Portugal,10,
41184,41184,2017,sf1,2017sf1,J,Finland,Slovenia,1,
41185,41185,2017,sf1,2017sf1,J,Finland,Sweden,12,
41186,41186,2017,sf1,2017sf1,J,Georgia,Albania,0,
41187,41187,2017,sf1,2017sf1,J,Georgia,Armenia,7,
41188,41188,2017,sf1,2017sf1,J,Georgia,Australia,6,
41189,41189,2017,sf1,2017sf1,J,Georgia,Azerbaijan,10,
41190,41190,2017,sf1,2017sf1,J,Georgia,Belgium,0,
41191,41191,2017,sf1,2017sf1,J,Georgia,Cyprus,5,
41192,41192,2017,sf1,2017sf1,J,Georgia,Czech Republic,1,
41193,41193,2017,sf1,2017sf1,J,Georgia,Finland,0,
41194,41194,2017,sf1,2017sf1,J,Georgia,Georgia,0,x
